field,modules,source_files,definition,formula_or_rule,unit,how_to_read,does_not_mean,unknown_rule
municipality_declared,Conhecimento hidrogeológico efetivo V2.2 | Registro e auditoria,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Município declarado no cadastro do poço.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,texto,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
spatial_gap_E01_p90_km,Conhecimento hidrogeológico efetivo V2.2 | Dimensão espacial,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentil 90 da distância do suporte fixo da célula ao poço canônico mais próximo.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,km,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydrostrat_units_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de unidades hidroestratigráficas que intersectam a célula.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,n,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydrostrat_dominant_unit,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Unidade hidroestratigráfica de maior fração areal na célula.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,categoria,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydrostrat_dominant_unit_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Fração areal da unidade hidroestratigráfica dominante na célula.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,%,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydrostrat_domains_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de domínios hidrolitológicos que intersectam a célula.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,n,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydrostrat_dominant_domain,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Domínio hidrolitológico de maior fração areal na célula.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,categoria,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydrostrat_dominant_domain_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Fração areal do domínio hidrolitológico dominante na célula.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,%,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydrostrat_E01_unit_masked,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de poço E01 presente apenas fora da unidade dominante da célula.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
hydrostrat_E01_domain_masked,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Indicador de poço E01 presente apenas fora do domínio dominante da célula.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,booleano,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
spatial_coordinate_review_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão espacial,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços cuja coordenada está marcada para revisão na unidade de análise.,Contagem direta do indicador spatial_coordinate_review entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
spatial_coordinate_review_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão espacial,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços cuja coordenada está marcada para revisão entre os poços da célula.,100 × spatial_coordinate_review_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
spatial_municipality_mismatch_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão espacial,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com divergência entre município declarado e município espacial na unidade de análise.,Contagem direta do indicador spatial_municipality_mismatch entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
spatial_municipality_mismatch_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão espacial,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com divergência entre município declarado e município espacial entre os poços da célula.,100 × spatial_municipality_mismatch_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
hydrostrat_unknown_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com estado hidroestratigráfico UNKNOWN na unidade de análise.,Contagem direta do indicador hydrostrat_unknown entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydrostrat_unknown_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com estado hidroestratigráfico UNKNOWN entre os poços da célula.,100 × hydrostrat_unknown_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
hydrostrat_review_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços cuja comparação hidroestratigráfica requer revisão na unidade de análise.,Contagem direta do indicador hydrostrat_review entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydrostrat_review_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroestratigráfica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços cuja comparação hidroestratigráfica requer revisão entre os poços da célula.,100 × hydrostrat_review_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
vertical_depth_positive_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão vertical,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com profundidade total positiva documentada na unidade de análise.,Contagem direta do indicador vertical_depth_positive entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
vertical_depth_positive_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão vertical,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com profundidade total positiva documentada entre os poços da célula.,100 × vertical_depth_positive_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
vertical_metadata_present_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão vertical,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com ao menos um metadado vertical além da profundidade na unidade de análise.,Contagem direta do indicador vertical_metadata_present entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
vertical_metadata_present_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão vertical,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com ao menos um metadado vertical além da profundidade entre os poços da célula.,100 × vertical_metadata_present_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
vertical_top_base_raw_coherent_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão vertical,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com topo e base brutos positivos e coerentes na unidade de análise.,Contagem direta do indicador vertical_top_base_raw_coherent entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
vertical_top_base_raw_coherent_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão vertical,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com topo e base brutos positivos e coerentes entre os poços da célula.,100 × vertical_top_base_raw_coherent_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
vertical_capture_interval_demonstrated_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão vertical,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com intervalo captado demonstrado na unidade de análise.,Contagem direta do indicador vertical_capture_interval_demonstrated entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydraulic_static_level_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com nível estático disponível na unidade de análise.,Contagem direta do indicador hydraulic_static_level entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydraulic_static_level_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com nível estático disponível entre os poços da célula.,100 × hydraulic_static_level_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
hydraulic_dynamic_level_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com nível dinâmico disponível na unidade de análise.,Contagem direta do indicador hydraulic_dynamic_level entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydraulic_dynamic_level_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com nível dinâmico disponível entre os poços da célula.,100 × hydraulic_dynamic_level_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
hydraulic_specific_capacity_nonnegative_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com capacidade específica não negativa na unidade de análise.,Contagem direta do indicador hydraulic_specific_capacity_nonnegative entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydraulic_specific_capacity_nonnegative_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com capacidade específica não negativa entre os poços da célula.,100 × hydraulic_specific_capacity_nonnegative_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
hydraulic_test_registered_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com ensaio de bombeamento cadastrado na unidade de análise.,Contagem direta do indicador hydraulic_test_registered entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydraulic_test_registered_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com ensaio de bombeamento cadastrado entre os poços da célula.,100 × hydraulic_test_registered_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
hydraulic_test_minimum_metadata_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com ensaio e metadados documentais mínimos na unidade de análise.,Contagem direta do indicador hydraulic_test_minimum_metadata entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydraulic_test_minimum_metadata_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com ensaio e metadados documentais mínimos entre os poços da célula.,100 × hydraulic_test_minimum_metadata_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
hydraulic_transmissivity_reported_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com transmissividade informada e não validada na unidade de análise.,Contagem direta do indicador hydraulic_transmissivity_reported entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydraulic_transmissivity_reported_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidráulica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com transmissividade informada e não validada entre os poços da célula.,100 × hydraulic_transmissivity_reported_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
hydrochemical_partial_evidence_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroquímica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com evidência hidroquímica parcial na unidade de análise.,Contagem direta do indicador hydrochemical_partial_evidence entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydrochemical_partial_evidence_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroquímica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com evidência hidroquímica parcial entre os poços da célula.,100 × hydrochemical_partial_evidence_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
hydrochemical_dated_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroquímica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com evidência hidroquímica datada na unidade de análise.,Contagem direta do indicador hydrochemical_dated entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
hydrochemical_dated_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão hidroquímica,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com evidência hidroquímica datada entre os poços da célula.,100 × hydrochemical_dated_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
temporal_any_dated_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com ao menos um evento hidrogeológico datado na unidade de análise.,Contagem direta do indicador temporal_any_dated entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
temporal_any_dated_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com ao menos um evento hidrogeológico datado entre os poços da célula.,100 × temporal_any_dated_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
temporal_multiple_domains_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com evidência datada em dois ou mais domínios na unidade de análise.,Contagem direta do indicador temporal_multiple_domains entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
temporal_multiple_domains_pct,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Percentual de poços com evidência datada em dois ou mais domínios entre os poços da célula.,100 × temporal_multiple_domains_n ÷ n_wells quando n_wells > 0.,%,Comparar somente dentro da mesma regra e com denominador conhecido.,"Não é probabilidade, qualidade total, potencial ou prioridade.",UNKNOWN em célula sem poço. Nunca convertido para zero.
temporal_latest_evidence_age_median_years,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Mediana da idade da evidência mais recente entre poços datados da célula.,Preservado ou derivado diretamente pelas regras documentadas da V2.2.,anos,Ler no contexto da dimensão e da unidade de análise correspondente.,Não autoriza agregação das nove dimensões nem inferência de potencial ou prioridade.,UNKNOWN ou vazio quando a fonte ou o denominador necessário não está disponível.
temporal_time_series_demonstrated_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão temporal,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços com série temporal demonstrada na unidade de análise.,Contagem direta do indicador temporal_time_series_demonstrated entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
independence_duplicate_candidate_n,Conhecimento hidrogeológico efetivo V2.2 | Dimensão de independência,well_effective_knowledge.csv | effective_knowledge_*km2.csv | effective_knowledge_global_summary.csv | effective_knowledge_scale_summary.csv | effective_knowledge_registry.csv | effective_knowledge_assignment_audit.csv,Número de poços candidatos a duplicidade HIGH ou MEDIUM na unidade de análise.,Contagem direta do indicador independence_duplicate_candidate entre os poços atribuídos.,n,Quantifica presença documental segundo a regra indicada.,"Não mede independência, potencial ou prioridade.",Em célula sem poço a contagem é zero e percentuais condicionados permanecem UNKNOWN.
